report_name,obj_url
catering_ifs_crew_cnt,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/Catering_Crew_Counts/ifs_emp_ftp.fex
FOPS All Pilots Recency,/WFC/Repository/Ops_Analytics/OPS/Reports/FOPs_Reports/FOPS_Metrics/AllPilots_Recency.fex
FOPS PCRR Recency Report,/WFC/Repository/Ops_Analytics/OPS/Reports/FOPs_Reports/FOPS_Metrics/Jessicas_Recency_Report.fex
JAZZ FTP Cancelled Flights,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/JAZZ_FTP_Cancelled_Flights/jazz_ftp_cnl_flts.fex
JAZZ FTP Operated Flights,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/JAZZ_FTP_Operated_Flights/jazz_ftp_operated_flts.fex
OMI Daily 0700 Snapshot Report,/WFC/Repository/Ops_Analytics/ACM/Reports/SR4/OMI_Reports/OMI_Daily_Snapshot_Report.fex
OMI Daily Contribution Report,/WFC/Repository/Ops_Analytics/ACM/Reports/SR4/OMI_Reports/OMI_Contribution_Report.fex
ACF Contingency Fuel Stats,/WFC/Repository/Ops_Analytics/OPS/Reports/Fuel_Reports/Contingency_Fuel_Stats/acf_email.fex
ACF Contingency Fuel Stats,/WFC/Repository/Ops_Analytics/OPS/Reports/Fuel_Reports/Contingency_Fuel_Stats/acf_excel.fex
ACF Contingency Fuel Stats,/WFC/Repository/Ops_Analytics/OPS/Reports/Fuel_Reports/Contingency_Fuel_Stats/acf_tab_dlmtd.fex
Crew Activity Pay Report (Monthly),/WFC/Repository/Ops_Analytics/OPS/Reports/FOPs_Reports/Crew_Activity_Pay_Report/Crew_Activity_Pay_Report.fex
AIRCOM FUEL Extract,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/AIRCOM_ETLs/aircom_extract.fex
AIRCOM FUEL Extract TDX,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/AIRCOM_ETLs/aircom_extract_tdx.fex
AIRCOM FUEL FLT LVL Extract,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/AIRCOM_ETLs/aircom_fuel_extracts.fex
Daily APM Reports,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/Daily_APM_Reports/daily_cumulative_aims_msg_extract.fex
FOPS Daily Open Pairings,/WFC/Repository/Ops_Analytics/OPS/Reports/FOPs_Reports/FOPS_Daily_Open_Pairings/fops_open_time_pairings.fex
FOPS Daily Reserve Stats,/WFC/Repository/Ops_Analytics/OPS/Reports/FOPs_Reports/FOPS_Daily_Reserve_Stats/fops_daily_rsv_stats.fex
FOPS Hotel Report Daily,/WFC/Repository/Ops_Analytics/OPS/Reports/IFS_Reports/IFS_Hotel_Report/ifs_hotel_report.fex
Forecast Baggage,/WFC/Repository/Ops_Analytics/OPS/Reports/Baggage_Reports/Forecast_Baggage_Daily/forecast_bags.fex
