master_name,master_file_path,created_by_proc_name,created_by_proc_path,used_in_proc_name,used_in_proc_path
ALL_INFO,output\EDA\EDASERVE\ops_analytics\data\hold\acm\all_info.mas,Daily_Perf_ACMPortal_Current.fex,output\WFC\Repository\Ops_Analytics\ACM\Dashboards\LM_Daily_Perf\Daily_Perf_ACMPortal_Current.fex,,
ALL_TGTS,output\EDA\EDASERVE\ops_analytics\data\hold\acm\all_tgts.mas,,,,
AOG,output\EDA\EDASERVE\ops_analytics\data\hold\acm\aog.mas,,,,
AOG_INFO,output\EDA\EDASERVE\ops_analytics\data\hold\acm\aog_info.mas,Daily_Perf_ACMPortal_Current.fex,output\WFC\Repository\Ops_Analytics\ACM\Dashboards\LM_Daily_Perf\Daily_Perf_ACMPortal_Current.fex,,
APU_INFO,output\EDA\EDASERVE\ops_analytics\data\hold\acm\apu_info.mas,,,,
APU_LIST_INFO,output\EDA\EDASERVE\ops_analytics\data\hold\acm\apu_list_info.mas,,,,
AVAIL_HOLD,output\EDA\EDASERVE\ops_analytics\data\hold\acm\avail_hold.mas,,,,
AVAIL_STATION,output\EDA\EDASERVE\ops_analytics\data\hold\acm\avail_station.mas,,,,
AWB_ZERO_ALLOTMENT,output\EDA\EDASERVE\ops_analytics\data\hold\acm\awb_zero_allotment.mas,zero_allotment_daily_report_sql.fex,output\WFC\Repository\Ops_Analytics\ACM\Reports\SR6\zero_allotment_daily_report_sql.fex,,
B737,output\EDA\EDASERVE\ops_analytics\data\hold\acm\b737.mas,,,,
B767,output\EDA\EDASERVE\ops_analytics\data\hold\acm\b767.mas,,,,
B767R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\b767r.mas,,,,
B777,output\EDA\EDASERVE\ops_analytics\data\hold\acm\b777.mas,,,,
B787,output\EDA\EDASERVE\ops_analytics\data\hold\acm\b787.mas,,,,
BTEX_999,output\EDA\EDASERVE\ops_analytics\data\hold\acm\btex_999.mas,,,,
CABIN_INFO,output\EDA\EDASERVE\ops_analytics\data\hold\acm\cabin_info.mas,,,,
CNX_INFO,output\EDA\EDASERVE\ops_analytics\data\hold\acm\cnx_info.mas,,,,
DAYSHIFT_TARGETS,output\EDA\EDASERVE\ops_analytics\data\hold\acm\dayshift_targets.mas,,,,
DEFECTPARTS,output\EDA\EDASERVE\ops_analytics\data\hold\acm\defectparts.mas,,,,
DELAY_A220,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_a220.mas,,,,
DELAY_A319,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_a319.mas,,,,
DELAY_A319R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_a319r.mas,,,,
DELAY_A320,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_a320.mas,,,,
DELAY_A320R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_a320r.mas,,,,
DELAY_A321,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_a321.mas,,,,
DELAY_A321R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_a321r.mas,,,,
DELAY_A330,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_a330.mas,,,,
DELAY_ACFT,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_acft.mas,ftps_reliability_graphs.fex,output\WFC\Repository\Ops_Analytics\ACM\Reports\Fleet_Management\FTPS\ftps_reliability_graphs.fex,,
DELAY_B737,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_b737.mas,,,,
DELAY_B767,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_b767.mas,,,,
DELAY_B767R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_b767r.mas,,,,
DELAY_B777,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_b777.mas,,,,
DELAY_B787,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_b787.mas,,,,
DELAY_ERJ190,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_erj190.mas,,,,
DELAY_HSTR_A220,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_a220.mas,,,,
DELAY_HSTR_A319,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_a319.mas,,,,
DELAY_HSTR_A319R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_a319r.mas,,,,
DELAY_HSTR_A320,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_a320.mas,,,,
DELAY_HSTR_A320R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_a320r.mas,,,,
DELAY_HSTR_A321,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_a321.mas,,,,
DELAY_HSTR_A321R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_a321r.mas,,,,
DELAY_HSTR_A330,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_a330.mas,,,,
