Procedure Name,Procedure Path,Master Name,Master Path
portal_upload_stn_otp_stats_acm_working.fex,/output/ETLs/Portal_Upload/portal_upload_stn_otp_stats_acm_working.fex,leg_flown,/output/ops/leg_flown.mas
Air_Canada_YYZ_OTP_-_A15_and_D15.fex,/output/Station_Reports/Air_Canada_YYZ_OTP_-_A15_D15/Air_Canada_YYZ_OTP_-_A15_and_D15.fex,leg_flown,/output/ops/leg_flown.mas
slvwyegitd24hourforecast.fex,/output/SLVW_ITD_YVR/slvwyegitd24hourforecast.fex,v_itinerary_segments,/output/airport/v_itinerary_segments.mas
slvwyhzitd24hourforecast.fex,/output/SLVW_ITD_YVR/slvwyhzitd24hourforecast.fex,v_itinerary_segments,/output/airport/v_itinerary_segments.mas
slvwyulitd24hourforecast.fex,/output/SLVW_ITD_YVR/slvwyulitd24hourforecast.fex,v_itinerary_segments,/output/airport/v_itinerary_segments.mas
slvwyvritd24hourforecast.fex,/output/SLVW_ITD_YVR/slvwyvritd24hourforecast.fex,v_itinerary_segments,/output/airport/v_itinerary_segments.mas
slvwyycitd24hourforecast.fex,/output/SLVW_ITD_YVR/slvwyycitd24hourforecast.fex,v_itinerary_segments,/output/airport/v_itinerary_segments.mas
slvw_yyz_itd_24hour_forecast.fex,/output/SLVW_ITD_YVR/slvw_yyz_itd_24hour_forecast.fex,v_itinerary_segments,/output/airport/v_itinerary_segments.mas
nick_rouge_station_delays_leg_flown1.fex,/output/MTA_Daily_YYZ/nick_rouge_station_delays_leg_flown1.fex,targets_carrier_station,/output/ops/targets_carrier_station.mas
nick_rouge_station_delays_leg_flown1.fex,/output/MTA_Daily_YYZ/nick_rouge_station_delays_leg_flown1.fex,leg_flown,/output/ops/leg_flown.mas
catsa_security_delays.fex,/output/SEC_Weekly_delays/catsa_security_delays.fex,leg_flown,/output/ops/leg_flown.mas
LHR_CKI_billing_extract.fex,/output/Salesview_Reports/LHR_CKI_billing_extract.fex,v_passengers_hdbk_gross,/output/airport/v_passengers_hdbk_gross.mas
